source,source_qc_2_status,reason
picons/0.8w/digislovakia/transparent/1_0_16_3F6_AF1_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7A5D_2CB_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7A5E_2CB_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7AB5_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7AB6_2CC_600_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7E4_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7E5_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7E6_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7E7_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_7E9_AF2_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_FAD_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_FB2_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_16_FB7_AF4_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_177F_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1780_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1782_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1783_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1787_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1788_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1789_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_178E_AF6_BB_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1B63_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1B65_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1B66_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digislovakia/transparent/1_0_19_1B6B_AF7_BB_FFF80000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
